,Model,Classifier,Ac,Time
0,DBOW,BernoulliNB(),0.5571428571428572,0.043998003005981445
1,DBOW,LogisticRegression(),0.6535714285714286,0.5280568599700928
2,DBOW,LinearSVC(),0.6535714285714286,2.2840003967285156
3,DBOW,AdaBoostClassifier(),0.6178571428571429,3.0919933319091797
4,DBOW,RidgeClassifier(),0.6428571428571429,0.00795292854309082
5,DBOW,PassiveAggressiveClassifier(),0.5785714285714286,0.04799294471740723
6,DBOW,Perceptron(),0.525,0.03600430488586426
7,DMC,BernoulliNB(),0.5107142857142857,0.015996456146240234
8,DMC,LogisticRegression(),0.5142857142857142,0.10799789428710938
9,DMC,LinearSVC(),0.5142857142857142,0.22800374031066895
10,DMC,AdaBoostClassifier(),0.5,3.1679954528808594
11,DMC,RidgeClassifier(),0.5142857142857142,0.011999368667602539
12,DMC,PassiveAggressiveClassifier(),0.5142857142857142,0.04400348663330078
13,DMC,Perceptron(),0.4142857142857143,0.0319974422454834
14,DMM,BernoulliNB(),0.525,0.015999794006347656
15,DMM,LogisticRegression(),0.5535714285714286,0.5520021915435791
16,DMM,LinearSVC(),0.55,4.239997148513794
17,DMM,AdaBoostClassifier(),0.5571428571428572,3.067995071411133
18,DMM,RidgeClassifier(),0.55,0.012000083923339844
19,DMM,PassiveAggressiveClassifier(),0.5571428571428572,0.06800007820129395
20,DMM,Perceptron(),0.475,0.03600192070007324
21,DBOW+DMM,BernoulliNB(),0.5428571428571428,0.03599810600280762
22,DBOW+DMM,LogisticRegression(),0.6321428571428571,1.108001470565796
23,DBOW+DMM,LinearSVC(),0.625,7.402227401733398
24,DBOW+DMM,AdaBoostClassifier(),0.5892857142857143,6.195984840393066
25,DBOW+DMM,RidgeClassifier(),0.6214285714285714,0.24715375900268555
26,DBOW+DMM,PassiveAggressiveClassifier(),0.5392857142857143,0.08799958229064941
27,DBOW+DMM,Perceptron(),0.5642857142857143,0.04800128936767578
28,DBOW+DMC,BernoulliNB(),0.5607142857142857,0.03199648857116699
29,DBOW+DMC,LogisticRegression(),0.6535714285714286,1.123999834060669
30,DBOW+DMC,LinearSVC(),0.6535714285714286,4.067997217178345
31,DBOW+DMC,AdaBoostClassifier(),0.6107142857142858,6.104031562805176
32,DBOW+DMC,RidgeClassifier(),0.6428571428571429,0.015969276428222656
33,DBOW+DMC,PassiveAggressiveClassifier(),0.5928571428571429,0.07999777793884277
34,DBOW+DMC,Perceptron(),0.5321428571428571,0.04799985885620117
